-0.32624,0.71975,0.61280,-0.59217,-0.66092,0.46100
-0.33048,0.68757,0.64656,-0.61230,-0.67751,0.40751
-0.32226,0.68598,0.65236,-0.61902,-0.67408,0.40303
-0.27471,0.72245,0.63451,-0.65749,-0.62265,0.42429
-0.26920,0.73849,0.61820,-0.66683,-0.60606,0.43361
-0.29201,0.71554,0.63461,-0.64336,-0.63793,0.42324
-0.31022,0.71410,0.62755,-0.62671,-0.64999,0.42983
-0.27753,0.72868,0.62610,-0.65498,-0.62028,0.43158
-0.31328,0.69127,0.65116,-0.62217,-0.66742,0.40920
-0.34002,0.67634,0.65341,-0.59870,-0.69150,0.40421
-0.33052,0.68410,0.65020,-0.59912,-0.68439,0.41552
-0.31070,0.69615,0.64718,-0.62404,-0.66298,0.41355
-0.31571,0.69028,0.65102,-0.61845,-0.67005,0.41055
-0.31484,0.68854,0.65329,-0.61803,-0.67110,0.40946
-0.30964,0.68983,0.65441,-0.62085,-0.66795,0.41035
-0.30585,0.68715,0.65900,-0.62747,-0.66606,0.40330
-0.29809,0.71314,0.63449,-0.63150,-0.64578,0.42915
-0.26787,0.73732,0.62017,-0.66016,-0.60930,0.43925
-0.26880,0.72074,0.63897,-0.67259,-0.61531,0.41111
-0.28078,0.71383,0.64157,-0.65900,-0.62937,0.41185
-0.29229,0.69406,0.65791,-0.64543,-0.65081,0.39983
-0.30063,0.69361,0.65462,-0.63485,-0.65775,0.40538
-0.31452,0.70094,0.64013,-0.62871,-0.65906,0.41276
-0.30073,0.71264,0.63380,-0.63921,-0.64382,0.42061
-0.28967,0.71161,0.64008,-0.64103,-0.64085,0.42236
-0.30418,0.70814,0.63719,-0.62843,-0.65186,0.42444
-0.31427,0.70170,0.63942,-0.61177,-0.66473,0.42879
-0.31367,0.69709,0.64473,-0.61337,-0.66708,0.42284
-0.30915,0.69573,0.64837,-0.61958,-0.66457,0.41770
-0.30341,0.69763,0.64904,-0.62855,-0.65847,0.41394
-0.29963,0.69872,0.64963,-0.63178,-0.65553,0.41368
-0.30225,0.69424,0.65320,-0.62943,-0.65997,0.41019
-0.30688,0.69288,0.65248,-0.62825,-0.66245,0.40799
-0.31061,0.69056,0.65318,-0.62643,-0.66555,0.40575
-0.31376,0.69001,0.65225,-0.62974,-0.66534,0.40094
-0.30404,0.69613,0.65035,-0.65146,-0.65003,0.39123
-0.29433,0.68562,0.66580,-0.65721,-0.65100,0.37985
-0.30064,0.67597,0.67282,-0.65386,-0.65965,0.37058
-0.31476,0.67662,0.66567,-0.64561,-0.66671,0.37240
-0.29726,0.67526,0.67503,-0.64017,-0.66549,0.38380
-0.26711,0.69525,0.66729,-0.67709,-0.62812,0.38341
-0.23127,0.71298,0.66195,-0.70243,-0.59313,0.39344
-0.23266,0.71250,0.66198,-0.69846,-0.59606,0.39607
-0.24493,0.70605,0.66446,-0.68511,-0.61097,0.39667
-0.25392,0.70343,0.66386,-0.67529,-0.62031,0.39899
-0.25437,0.70755,0.65930,-0.67759,-0.61681,0.40052
-0.24932,0.71018,0.65840,-0.68600,-0.60939,0.39755
-0.25075,0.69540,0.67345,-0.68282,-0.62019,0.38617
-0.25604,0.69517,0.67170,-0.68089,-0.62293,0.38515
-0.25859,0.69818,0.66759,-0.68533,-0.61964,0.38257
-0.25763,0.69982,0.66624,-0.68032,-0.62101,0.38924
-0.26352,0.69670,0.66721,-0.67046,-0.62956,0.39259
-0.26437,0.70003,0.66337,-0.67360,-0.62629,0.39245
-0.27372,0.70808,0.65093,-0.67035,-0.62576,0.39881
-0.27541,0.69274,0.66653,-0.66325,-0.63882,0.38988
-0.27691,0.69599,0.66251,-0.66236,-0.63775,0.39314
-0.29126,0.70605,0.64550,-0.65797,-0.63766,0.40059
-0.25704,0.70599,0.65993,-0.69384,-0.61016,0.38250
-0.25360,0.69248,0.67540,-0.69914,-0.61375,0.36675
-0.24488,0.69269,0.67839,-0.70818,-0.60568,0.36282
-0.23919,0.70283,0.66994,-0.71096,-0.59669,0.37215
-0.25750,0.70129,0.66475,-0.69257,-0.61368,0.37914
-0.26593,0.71427,0.64737,-0.68231,-0.61386,0.39701
-0.25938,0.72502,0.63802,-0.68975,-0.60147,0.40308
-0.23684,0.72018,0.65211,-0.70896,-0.58704,0.39085
-0.22707,0.72189,0.65369,-0.71069,-0.58175,0.39558
-0.24973,0.72415,0.64284,-0.68650,-0.60060,0.40987
-0.25493,0.73013,0.63397,-0.69145,-0.59596,0.40832
